,tweets
80,Mas ngebangun proses Solusinya targetnya prosesnya uda berjalan Apa LRT MRT ERP yg skrg jd kebijakan Gub DKI utk pelaksanaannya dmn dl nya Jokowi Ahok yg Emang tukang sulap lgsg Nah sm kt jg nunggu solusi yg dipersiapkan anies
81,Lol i tergelak dlm mrt
82,ITU MRT WKWKWKWKWKWK
83,LRT MRT terbatas Trans Jakarta terbatas jangkauan layananannya Perluasan GaGen h…
84,LRT MRT terbatas Trans Jakarta terbatas jangkauan layananannya Perluasan GaGen h…
85,Kalau la kurus ni ... .. kolej mrt free je Kahkah
86,LRT MRT terbatas Trans Jakarta terbatas jangkauan layananannya Perluasan GaGen h…
87,LRT MRT terbatas Trans Jakarta terbatas jangkauan layananannya Perluasan GaGen untungkan pengusaha Taxi Taxi-On-Line Ojek-On-Line
88,Lagi MRT donggg td pas gempa
89,Bisa²nya ber3 gak kerasa gempa laen panik Apa gra² turun tangga MRT ya Bener² gk kerasa
90,Ane liat gitu proyek bangunan MRT ya ... lupa hehe
91,Yang kena gempa lg basement stasiun mrt gmn ya Kerasa gak
92,Pas gempa w MRT tanah Dan berenti distasiun Didalem otak gue udahlah roboh kaya difilm film Lalu celingak celinguk cari temen yg kukenal kereta biar klo w ga Eh galama mrtnya jalaaan
93,Kereta MRT berhenti beroperasi beroperasi headway delay menit detik
94,mrt je la bang dtg damansara senang haih
95,heh *di mrt* a `` awas loh benci benci jd cinta kyk gw '' b `` apaansih anjir lo benci jd cinta gw benci…
96,Berdasarkan thread mas nyobain kulineran Psr Mayestik Ke psr Mayestik gampang2 ribed Bis…
97,Macamaaa eh jkt gis Kapaan Boleh ketemu apinnnn Btw MRT dr HI turun istora
98,Karunya teu naekeun bbm naekeun harga mobil motor ngan saukur naekeun harga parkir murahkeun mobil/motor listrik genjot fasilitas mrt krl kmaha carana org jdi teu pke sumber polusi pabrik2 dll cek emisi Byar pajak udara bersih mun pabrik ngotoran
99,Pengen mrt
100,the power of panik sih hahahha krl gapapa ya baca tweet mrt mati gitu beneran gak sih
101,Pengen mrt
102,MRT Jakarta beroperasi headway normal menit Terima kasih
103,Pukul :00 WIB Rupiah Semakin Lemah Rp 15/US Coba Ngingatin Aja Pak Jokow…
104,Saya stasiun MRT pas kejadian gempa Diinfokan…
105,Goresan cucuk canting kain batik meter peron Stasiun MRT Bundaran HI siang tanda dim…
